"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "XML", "CSS", "HTML", "TypeScript JSX", "comment", "blank", "total"
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\RightSideBar\RightSideBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 52, 0, 8, 60
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\SearchBar\SearchBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 49, 1, 10, 60
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Tabs\Loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 11
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Tabs\NavBarNotifications.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 11, 48
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Tabs\NavBarRequests.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 9, 54
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Tabs\Tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 126, 0, 17, 143
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Users\User.css", "CSS", 0, 0, 0, 0, 0, 21, 0, 0, 0, 3, 24
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Users\User.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 59, 0, 13, 72
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Users\UserSide.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 5, 44
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Users\Users.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 6, 46
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Users\UsersModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 3, 50
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\img\logo.svg", "XML", 0, 0, 0, 0, 53, 0, 0, 0, 0, 1, 54
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\index.css", "CSS", 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 134, 30, 7, 171
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\reportWebVitals.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\setupTests.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"e:\asdsadasd\FrontasBakio\bakiofrontas\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"e:\asdsadasd\FrontasBakio\package-lock.json", "JSON", 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 26, 14, 12705, 26, 54, 342, 20, 5224, 78, 835, 19324
