"filename", "language", "JSON with Comments", "TypeScript", "CSS", "XML", "TypeScript JSX", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\ResetPassword\ResetPassword.tsx", "TypeScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 2, 9, 62
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\RightSideBar\Movie.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\RightSideBar\RightMovie.tsx", "TypeScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 0, 10, 50
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\RightSideBar\RightSideBar.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\RightSideBar\RightSideBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 8, 60
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\SearchBar\SearchBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 1, 9, 59
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Tabs\Loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Tabs\NavBarNotifications.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 10, 51
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Tabs\NavBarRequests.tsx", "TypeScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 9, 54
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Tabs\Tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 116, 0, 0, 0, 0, 13, 129
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Users\User.css", "CSS", 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Users\User.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 13, 72
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Users\UserSide.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Users\Users.tsx", "TypeScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 0, 6, 44
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\img\logo.svg", "XML", 0, 0, 0, 53, 0, 0, 0, 0, 0, 1, 54
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\index.css", "CSS", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 131, 0, 0, 0, 30, 12, 173
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\reportWebVitals.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\setupTests.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"e:\asdsadasd\FrontasBakio\bakiofrontas\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 26, 14, 317, 54, 4343, 12678, 26, 20, 77, 720, 18275
